type,name,symbol,address,deployer
20,XEN Crypto,fmXEN,0xef4b763385838fffc708000f884026b8c0434275,0x9dceb6a4efb78129bf6585e9ee7ada19b80221eb
20,Minereum FTM,MNEF,0xf9d922c055a3f1759299467dafafdf43be844f7a,0x074a2bb7686da8dacad178aece2ad280b8d4c25d
20,mvgram.org,mvgram.org,0x87ff32289183cbd629d3eb53d8b8bdb90fd878b6,0x4c4505e5b39f53f6f48fe383b8591c7ce57663d9
20,24DROP.NET,24DROP.NET,0x67a58a20f087a600aec491d5cd329ba597b71aa7,0xf5ff18b73246de5392c8503303eb0f5b91f03d1f
20,SafeBLAST,BLAST,0x7d226bff737c5855254c307523afb3c464c5680b,0xfa9da51631268a30ec3ddd1ccbf46c65fad99251
20,2XBNB.INFO,2XBNB,0x10657d9bb24b4cd808e42ef4ad4c0fd3b07ddb21,0xf5ff18b73246de5392c8503303eb0f5b91f03d1f
20,eth-1inch.io,eth-1inch.io,0x5a7aad61871a39a972c11aa9cd48e8df1e10311d,0xbe7d32c5bf9a3d92382e0335bb54dab261f79f42
20,USD Coin,USDC,0x04068da6c83afcfa0e13ba15a6696662335d5b75,0x2d407ddb06311396fe14d4b49da5f0471447d45c
20,Wrapped Fantom,WFTM,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,0x3ea8375b450e443a9bb5cac5f4be9f8f646d7318
20,8bitcats.com - Fantom Metaverse,8bitcats.com,0x630277e37fd2ddf81e4683f3692dd817aa6225cb,0x50e9a0da3ac19d6d6404a166bbcf3ed21d1efc7b
20,NFTWorld,NFTW,0xb5c622c8598c5f69d48dea1ea414189502e6b35d,0xcbc0aa10f9a465323ecfd21622f847f5ad541c31
20,SpookyToken,BOO,0x841fad6eae12c286d1fd18d1d525dffa75c7effe,0x95478c4f7d22d1048f46100001c2c69d2ba57380
20,POWER,POWER,0xb13092f9139439dbc00120f452100df15e4e8d20,0xcbc0aa10f9a465323ecfd21622f847f5ad541c31
20,Powerful,PWFL,0x1f797fdebd1c9bf015643d0cc8bd00ece9e709d7,0x95cf5354519a6ad2bd7e53fe7763201dfb24bfe4
20,NFTWs,NFTWs,0xf5d511cb783e40ca68dfe8de78e57c3cdb497f1a,0xcbc0aa10f9a465323ecfd21622f847f5ad541c31
